"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","GPUBusy","VALUBusy","SALUBusy","MemUnitBusy","SFetchInsts","FetchSize","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
507,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l91.kd",1,5,63,8368,8372,16896,256,2048,0,28,72,63424,"0x14b99bdd7100","0x14b893f45e00",100,1.3351464468,0.7749100628,4.1368508779,7,274.5,1026433078257048,1026433077665659,1026433079102948,1026433079275551,1437289
508,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE16fill_send_bufferERNS_11DeviceArrayIdEERKS3_RNS_8SettingsERNS_6DomainIdEEd_l174.kd",0,2,63,8368,8374,16384,256,2048,128,40,88,48448,"0x14b99bdd6f80","0x14b898045d80",100,1.6570576062,0.7114875596,6.8147829539,6,537.875,1026433079296291,1026433078592045,1026433080024853,1026433080148301,1432808
509,"__omp_offloading_43b2fce4_e80082d4__ZN7Poisson6JacobiIdE17relaxation_kernelERNS_6DomainIdEEdllllll_l138.kd",0,3,63,8368,8378,112640,256,2048,0,40,80,56320,"0x14b99bdd7200","0x14b898045dc0",100,29.6999207035,5.746889496,73.3098265278,5,41989.125,1026433079304577,1026433078532524,1026433080382295,1026433080447500,1849771
510,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE16fill_send_bufferERNS_11DeviceArrayIdEERKS3_RNS_8SettingsERNS_6DomainIdEEd_l174.kd",1,6,63,8368,8377,16384,256,2048,128,40,88,48448,"0x14b99bdd6f00","0x14b893f45d80",100,1.5453490747,0.6635234874,10.4931376663,6,537.3125,1026433079292233,1026433078561345,1026433080091114,1026433080141878,1529769
511,"__omp_offloading_43b2fce4_e80082d4__ZN7Poisson6JacobiIdE17relaxation_kernelERNS_6DomainIdEEdllllll_l138.kd",1,7,63,8368,8368,112640,256,2048,0,40,80,56320,"0x14b99bdd7100","0x14b893f45dc0",100,0.2940449325,0.1262534933,1.9966064677,6,537.3125,1026433079543229,1026433079259589,1026433080355435,1026433080442801,1095846
512,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",1,4,64,8368,8375,16896,256,2048,0,32,80,80896,"0x14b99bdd7000","0x14b893f45ec0",100,4.5956795075,1.1732016408,5.0200613394,7,281.375,1026433080467990,1026433079216229,1026433081382642,1026433081601284,2166413
513,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",1,5,64,8368,8376,16896,256,2048,0,32,80,80896,"0x14b99bdd7080","0x14b893f45ec0",100,9.641998867,0.9158591491,7.787389308,7,279.625,1026433080473951,1026433079102948,1026433081153520,1026433081155060,2050572
514,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",1,6,64,8368,8368,16896,256,2048,0,32,80,80896,"0x14b99bdd7700","0x14b893f45ec0",100,2.4101732965,0.8795686486,9.1446705304,7,276.4375,1026433080474482,1026433080091114,1026433081536243,1026433081580123,1445129
515,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,1,64,8368,8374,16896,256,2048,0,32,80,80896,"0x14b99bdd6f00","0x14b898045ec0",100,1.7697167358,0.87570702,3.0677684395,6,138.3125,1026433080478801,1026433079239569,1026433081500062,1026433081598900,2260493
516,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,2,64,8368,8378,16896,256,2048,0,32,80,80896,"0x14b99bdd7200","0x14b898045ec0",100,1.695305523,0.826267767,2.8945733223,6,138.3125,1026433080483820,1026433080024853,1026433081475262,1026433081591676,1450409
517,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,0,64,8368,8377,16896,256,2048,0,32,80,80896,"0x14b99bdd7180","0x14b898045ec0",100,1.6458928245,0.8144353678,5.8440516814,7,278.0625,1026433080478129,1026433078730285,1026433081407421,1026433081584652,2677136
518,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l91.kd",1,7,64,8368,8372,16896,256,2048,0,28,72,63424,"0x14b99bdd6f80","0x14b893f45e00",100,3.0940189163,1.1291312707,11.7393150297,7,276.4375,1026433080901690,1026433080355435,1026433081553843,1026433081582207,1198408
519,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l91.kd",0,3,64,8368,8373,16896,256,2048,0,28,72,63424,"0x14b99bdd7100","0x14b898045e00",100,1.585472167,0.9201974356,2.8546565198,6,138.3125,1026433081029758,1026433080382295,1026433081678303,1026433082387497,1296008
520,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE16fill_send_bufferERNS_11DeviceArrayIdEERKS3_RNS_8SettingsERNS_6DomainIdEEd_l174.kd",1,4,65,8368,8376,16384,256,2048,128,40,88,48448,"0x14b99bdd7080","0x14b893f45d80",100,3.3865002829,0.9451144475,11.3985970957,6,533.9375,1026433081599180,1026433081382642,1026433081877525,1026433082162291,494883
521,"__omp_offloading_43b2fce4_e80082d4__ZN7Poisson6JacobiIdE17relaxation_kernelERNS_6DomainIdEEdllllll_l138.kd",0,0,65,8368,8376,112640,256,2048,0,40,80,56320,"0x14b99bdd6f80","0x14b898045dc0",100,36.7084037334,6.7683439616,96.9305525132,6,15540.625,1026433082413557,1026433081407421,1026433083173352,1026433083174441,1765931
522,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE16fill_send_bufferERNS_11DeviceArrayIdEERKS3_RNS_8SettingsERNS_6DomainIdEEd_l174.kd",0,1,65,8368,8378,16384,256,2048,128,40,88,48448,"0x14b99bdd7180","0x14b898045d80",100,36.7090222823,6.7684580105,96.930500792,6,15540.625,1026433082417785,1026433081500062,1026433083117512,1026433083119184,1617450
523,"__omp_offloading_43b2fce4_e80082d4__ZN7Poisson6JacobiIdE17relaxation_kernelERNS_6DomainIdEEdllllll_l138.kd",1,5,65,8368,8374,112640,256,2048,0,40,80,56320,"0x14b99bdd7700","0x14b893f45dc0",100,31.3070342165,6.0554994636,75.8325548973,5,42171.8125,1026433081623878,1026433081153520,1026433083191772,1026433083193097,2038252
524,"__omp_offloading_43b2fce4_e8007dbb__ZN7Poisson11DeviceArrayIdE9init_zeroEv_l122.kd",0,2,65,8368,8377,112640,256,2048,0,16,40,66176,"0x14b99bdd7200","0x14b898045e40",100,7.6898851478,6.055589464,4.8618136669,6,72.1875,1026433083218717,1026433081475262,1026433083939437,1026433084031821,2464175
525,"__omp_offloading_43b2fce4_e8007dbb__ZN7Poisson11DeviceArrayIdE9init_zeroEv_l122.kd",0,3,65,8368,8374,4352,256,2048,0,16,40,66176,"0x14b99bdd6f00","0x14b898045e40",100,0.1740932253,0.1712448824,1.4912718634,3,4.0625,1026433083221742,1026433081678303,1026433083701195,1026433084029597,2022892
526,"__omp_offloading_43b2fce4_e8007dbb__ZN7Poisson11DeviceArrayIdE9init_zeroEv_l122.kd",1,6,65,8368,8368,4352,256,2048,0,16,40,66176,"0x14b99bdd7000","0x14b893f45e40",100,0.1630453901,0.160377801,1.4095350187,3,3.8125,1026433083226502,1026433081536243,1026433084015617,1026433084027343,2479374
527,"__omp_offloading_43b2fce4_4401ca68__ZN7Poisson9InjectionIdE11restrict_toERNS_11DeviceArrayIdEES4__l47.kd",0,0,66,8368,8378,4352,256,2048,0,28,64,12928,"0x14b99bdd7080","0x14b898045c40",100,0.4471641688,0.2569793773,1.9804145275,6,72.1875,1026433083226953,1026433083173352,1026433083957197,1026433084033645,783845
528,"__omp_offloading_43b2fce4_4401ca68__ZN7Poisson9InjectionIdE11restrict_toERNS_11DeviceArrayIdEES4__l47.kd",0,1,66,8368,8372,4352,256,2048,0,28,64,12928,"0x14b99bdd7100","0x14b898045c40",100,0.4553199279,0.261666385,1.722719176,6,72.1875,1026433083229327,1026433083117512,1026433083987117,1026433084043564,869605
529,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,3,66,8368,8375,16896,256,2048,0,32,80,80896,"0x14b99bdd7700","0x14b898045ec0",100,3919.3939393939,2252.4242424242,43458.3333333333,6,73.5625,1026433083695730,1026433083701195,1026433084768882,1026433084933578,1067687
530,"__omp_offloading_43b2fce4_e8007dbb__ZN7Poisson11DeviceArrayIdE9init_zeroEv_l122.kd",1,7,65,8368,8368,4352,256,2048,0,16,40,66176,"0x14b99bdd7000","0x14b893f45e40",100,0.2274465223,0.2237252649,1.4613602627,3,3.4375,1026433084037983,1026433081553843,1026433084710661,1026433084930732,3156818
531,"__omp_offloading_43b2fce4_4401ca68__ZN7Poisson9InjectionIdE11restrict_toERNS_11DeviceArrayIdEES4__l47.kd",0,2,66,8368,8376,4352,256,2048,0,28,64,12928,"0x14b99bdd7180","0x14b898045c40",100,0.3246322976,0.1865619196,3.5995306461,6,73.5625,1026433083925295,1026433083939437,1026433084601361,1026433084923769,661924
532,"__omp_offloading_43b2fce4_e8007dbb__ZN7Poisson11DeviceArrayIdE9init_zeroEv_l122.kd",0,1,67,8368,8377,4352,256,2048,0,16,40,66176,"0x14b99bdd7200","0x14b898045e40",100,2939.5454545455,1689.3181818182,32593.75,6,73.5625,1026433084041320,1026433083987117,1026433084782962,1026433084935371,795845
533,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l91.kd",0,0,67,8368,8373,16896,256,2048,0,28,72,63424,"0x14b99bdd6f80","0x14b898045e00",100,1.4309193948,0.8304960409,4.0201121104,6,139.6875,1026433083948189,1026433083957197,1026433085428725,1026433085482120,1471528
